address,lat,lon,school_type,ncessch,status,level,grade_low,grade_high,enrollment,locale,county_name,fte,student_teacher_ratio,free_lunch,reduced_lunch,direct_cert,total_frl,virtual,charter,school_type_text,pk,kg,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10,g11,g12,am,asian,black,hispanic,pacific,two_or_more,white,state,county,tract,block,geoid,income,poverty_total,poverty_below,poverty_rate,unemployment,white_census,black_census,hispanic_census,bachelors,median_age
"Fayette Central School - 2023 Main Street, Fayette, ME 04349",44.407299999999999,-70.039147,"Public","230000800455","1","Elementary","PK","05",70,"42","Kennebec County",7.1999998092651367,9.7200000000000006,28,12,14,40,"Not Virtual","No","Regular School",10,9,6,12,13,11,9,"","","","","","","",0,0,2,2,0,0,66,"23","011","014500","1002","23011014500","67024","2439",90,"3.7","8.0","2323","0","21","43.4","55.3"
"Long Island Elementary School - 33 Fern AVE, Long Island, ME 04050",43.684798000000001,-70.162187000000003,"Public","230000900032","1","Elementary","KG","05",13,"41","Cumberland County",2,6.5,3,0,3,3,"Not Virtual","No","Regular School","",3,1,3,2,3,1,"","","","","","","",0,0,0,0,0,0,13,"23","005","002400","3030","23005002400","83393","1330",168,"12.7","13.5","1232","0","11","68.8","61.9"
"ME Sch of Science & Mathematics - 95 High Street, Limestone, ME 04750",46.907755999999999,-67.828672999999995,"Public","230004900293","1","High","09","12",102,"43","Aroostook County",14.100000381469727,7.2300000000000004,3,0,3,3,"Not Virtual","No","Regular School","","","","","","","","","","",19,23,27,33,1,9,1,5,0,8,78,"23","003","951600","2002","23003951600","43958","1556",149,"9.6","16.7","1427","13","73","19.9","44.5"
"Arthur R. Gould Sch--LCYDC - 675 Westbrook Street, South Portland, ME 04106",43.638573999999998,-70.308978999999994,"Public","230005000377","1","High","07","12",9,"13","Cumberland County",0,"",6,0,6,6,"Not Virtual","No","Regular School","","","","","","","","",0,0,0,0,5,4,1,0,2,0,0,0,6,"23","005","003002","1006","23005003002","68011","3307",304,"9.2","9.4","1368","1553","61","35.5","28.6"
"Camden Hills Regional H S - 25 Keelson Drive, Rockport, ME 04856",44.189017,-69.100509000000002,"Public","230005300504","1","High","09","12",719,"41","Knox County",58.599998474121094,12.27,103,39,75,142,"Not Virtual","No","Regular School","","","","","","","","","","",200,178,169,172,1,5,5,16,1,5,686,"23","013","970500","1010","23013970500","93169","3663",120,"3.3","7.8","3481","13","21","48.0","46.6"
"Elm Street School-East Machias - 38 Jacksonville Road, East Machias, ME 04630",44.741216000000001,-67.390488000000005,"Public","230006200560","1","Elementary","PK","08",187,"43","Washington County",14.600000381469727,12.81,69,10,53,79,"Not Virtual","No","Regular School",19,20,21,17,17,17,17,20,22,17,"","","","",0,1,1,0,1,0,184,"23","029","956100","1018","23029956100","55521","2286",233,"10.2","14.7","2161","12","42","27.3","45.6"
"Bay Ridge Elementary - 2066 Cutler Rd, Cutler, ME 04626",44.670383000000001,-67.257176999999999,"Public","230006501020","1","Elementary","PK","08",55,"43","Washington County",5.1999998092651367,10.58,23,4,19,27,"Not Virtual","No","Regular School",3,11,4,5,3,6,4,2,7,10,"","","","",1,0,0,0,0,5,49,"23","029","955800","4033","23029955800","52147","2195",307,"14.0","17.5","2047","0","85","32.9","54.8"
"Fort O'Brien School - 492 Port Road, Machiasport, ME 04655",44.689030000000002,-67.397328999999999,"Public","230006700561","1","Elementary","PK","08",49,"43","Washington County",6,8.1699999999999999,23,2,9,25,"Not Virtual","No","Regular School",5,4,7,10,1,7,6,3,1,5,"","","","",1,0,0,5,0,0,43,"23","029","956100","2015","23029956100","55521","2286",233,"10.2","14.7","2161","12","42","27.3","45.6"
"Whiting Village School - 145 U S Route 1, Whiting, ME 04691",44.791271999999999,-67.175264999999996,"Public","230006800564","1","Elementary","PK","08",28,"43","Washington County",4.1999998092651367,6.6699999999999999,9,2,9,11,"Not Virtual","No","Regular School",5,3,3,3,3,1,4,0,3,3,"","","","",0,0,0,0,0,1,27,"23","029","955900","3196","23029955900","52925","2638",311,"11.8","15.2","2441","0","140","28.8","49.8"
"Acton Elementary School - 700 Milton Mills Road, Acton, ME 04001",43.507095,-70.897497000000001,"Public","230222000001","1","Elementary","PK","08",246,"42","York County",22,11.18,59,11,37,70,"Not Virtual","No","Regular School",22,22,30,22,23,20,27,33,23,24,"","","","",1,1,0,5,0,10,229,"23","031","023501","2006","23031023501","84510","3676",132,"3.6","7.6","3266","7","72","26.3","52.9"
