School Name,School Year,k12student_k12studentstudentidentifierstate (DISTINCT_COUNT),Not_Econ_Disadvantaged,Econ_Disadvantaged,Year Opened,Year Closed,Location,Public Flag,School Type,Mailing Address,Grade Low,Grade High,Year,Last_Report_Year,Year Closed Final,closure_confirmed,estimated_age_closure
Abraham Lincoln School,2024-25,184,75.0,109.0,,,,,,,,,3924,3924,,NaN,
Abraham Lincoln School,2023-24,176,90.0,86.0,,,,,,,,,3923,3924,,NaN,
Abraham Lincoln School,2022-23,158,93.0,65.0,,,,,,,,,3922,3924,,NaN,
Abraham Lincoln School,2021-22,170,99.0,71.0,,,,,,,,,3921,3924,,NaN,
Abraham Lincoln School,2020-21,183,100.0,83.0,,,,,,,,,3920,3924,,NaN,
Abraham Lincoln School,2019-20,210,115.0,95.0,,,,,,,,,3919,3924,,NaN,
Abraham Lincoln School,2018-19,218,108.0,110.0,,,,,,,,,3918,3924,,NaN,
Abraham Lincoln School,2017-18,210,100.0,110.0,,,,,,,,,3917,3924,,NaN,
Abraham Lincoln School,2016-17,219,94.0,125.0,,,,,,,,,3916,3924,,NaN,
Abraham Lincoln School,2015-16,220,99.0,121.0,,,,,,,,,3915,3924,,NaN,
Academy Hill School,2024-25,178,63.0,115.0,,,,,,,,,3924,3924,,NaN,
Academy Hill School,2023-24,182,84.0,98.0,,,,,,,,,3923,3924,,NaN,
Academy Hill School,2022-23,166,81.0,85.0,,,,,,,,,3922,3924,,NaN,
Academy Hill School,2021-22,168,94.0,74.0,,,,,,,,,3921,3924,,NaN,
Academy Hill School,2020-21,170,78.0,92.0,,,,,,,,,3920,3924,,NaN,
Academy Hill School,2019-20,190,97.0,93.0,,,,,,,,,3919,3924,,NaN,
Academy Hill School,2018-19,190,83.0,107.0,,,,,,,,,3918,3924,,NaN,
Academy Hill School,2017-18,191,76.0,115.0,,,,,,,,,3917,3924,,NaN,
Academy Hill School,2016-17,188,82.0,106.0,,,,,,,,,3916,3924,,NaN,
Academy Hill School,2015-16,188,72.0,116.0,,,,,,,,,3915,3924,,NaN,
Acadia Academy School,2024-25,250,170.0,80.0,2017.0,,Lewiston,Public,Charter,"12 Westminster Street Lewiston, ME 04240",PK,6,3924,3924,,NaN,
Acadia Academy School,2023-24,246,184.0,62.0,2017.0,,Lewiston,Public,Charter,"12 Westminster Street Lewiston, ME 04240",PK,6,3923,3924,,NaN,
Acadia Academy School,2022-23,248,189.0,59.0,2017.0,,Lewiston,Public,Charter,"12 Westminster Street Lewiston, ME 04240",PK,6,3922,3924,,NaN,
Acadia Academy School,2021-22,256,196.0,60.0,2017.0,,Lewiston,Public,Charter,"12 Westminster Street Lewiston, ME 04240",PK,6,3921,3924,,NaN,
Acadia Academy School,2020-21,257,182.0,75.0,2017.0,,Lewiston,Public,Charter,"12 Westminster Street Lewiston, ME 04240",PK,6,3920,3924,,NaN,
Acadia Academy School,2019-20,229,172.0,57.0,2017.0,,Lewiston,Public,Charter,"12 Westminster Street Lewiston, ME 04240",PK,6,3919,3924,,NaN,
Acadia Academy School,2018-19,204,150.0,54.0,2017.0,,Lewiston,Public,Charter,"12 Westminster Street Lewiston, ME 04240",PK,6,3918,3924,,NaN,
Acadia Academy School,2017-18,172,118.0,54.0,2017.0,,Lewiston,Public,Charter,"12 Westminster Street Lewiston, ME 04240",PK,6,3917,3924,,NaN,
Acadia Academy School,2016-17,130,88.0,42.0,2017.0,,Lewiston,Public,Charter,"12 Westminster Street Lewiston, ME 04240",PK,6,3916,3924,,NaN,
Acton Elementary School,2024-25,256,179.0,77.0,,,,,,,,,3924,3924,,NaN,
Acton Elementary School,2023-24,245,184.0,61.0,,,,,,,,,3923,3924,,NaN,
Acton Elementary School,2022-23,246,176.0,70.0,,,,,,,,,3922,3924,,NaN,
