ncessch,school_name,year,enrollment,fte,student_teacher_ratio
"230000800455","Fayette Central School","2023",70,7.1999998092651367,9.7200000000000006
"230000900032","Long Island Elementary School","2023",13,2,6.5
"230004900293","ME Sch of Science & Mathematics","2023",102,14.100000381469727,7.2300000000000004
"230005000377","Arthur R. Gould Sch--LCYDC","2023",9,0,""
"230005300504","Camden Hills Regional H S","2023",719,58.599998474121094,12.27
"230006200560","Elm Street School-East Machias","2023",187,14.600000381469727,12.81
"230006501020","Bay Ridge Elementary","2023",55,5.1999998092651367,10.58
"230006700561","Fort O'Brien School","2023",49,6,8.1699999999999999
"230006800564","Whiting Village School","2023",28,4.1999998092651367,6.6699999999999999
"230222000001","Acton Elementary School","2023",246,22,11.18
"230228000975","Alexander Elementary","2023",35,5.9000000953674316,5.9299999999999997
"230250000007","Airline Community School","2023",36,5.3000001907348633,6.79
"230251000906","Appleton Village School","2023",135,17.200000762939453,7.8499999999999996
"230261000012","East Auburn Community School","2023",164,12.800000190734863,12.81
"230261000013","Edward Little High School","2023",1007,85,11.85
"230261000014","Fairview School","2023",479,33.5,14.300000000000001
"230261000018","Sherwood Heights Elementary Sch","2023",313,29.5,10.609999999999999
"230261000020","Walton School","2023",194,21,9.2400000000000002
"230261000021","Washburn School","2023",243,22,11.050000000000001
"230261000626","Park Avenue Elementary School","2023",318,33.200000762939453,9.5800000000000001
"230261000907","Auburn Middle School","2023",501,42,11.93
"230264000040","Lillian Parks Hussey School","2023",260,19.200000762939453,13.539999999999999
"230264000042","Sylvio J Gilbert School","2023",335,23.899999618530273,14.02
"230264000057","Capital Area Technical Center","2023","",17,-1
"230264001002","Farrington School","2023",303,28.600000381469727,10.59
"230264001003","Lincoln School","2023",310,21.899999618530273,14.16
"230264023118","Cony","2023",685,44.5,15.390000000000001
"230264023175","Cony Middle School","2023",320,27.899999618530273,11.470000000000001
"230273000044","Woodland Elementary School","2023",113,15,7.5300000000000002
"230273000045","Woodland Jr-Sr High School","2023",182,16.799999237060547,10.83
"230282000046","Abraham Lincoln School","2023",158,15.699999809265137,10.06
"230282000047","Bangor High School","2023",1107,82.5,13.42
"230282000049","Downeast School","2023",294,28.799999237060547,10.210000000000001
"230282000050","Fairmount School","2023",231,22.799999237060547,10.130000000000001
"230282000051","James F. Doughty School","2023",364,30.600000381469727,11.9
"230282000053","Fruit Street School","2023",334,21.299999237060547,15.68
"230282000054","William S. Cohen School","2023",364,30.100000381469727,12.09
"230282000058","Vine Street School","2023",199,18.899999618530273,10.529999999999999
"230282001004","Mary Snow School","2023",240,19.5,12.31
"230282001005","Fourteenth Street School","2023",163,10.899999618530273,14.949999999999999
"230285000060","Conners-Emerson School","2023",333,43.799999237060547,7.5999999999999996
"230295000070","Beals Elementary School","2023",37,5.9000000953674316,6.2699999999999996
"230315000064","Biddeford Regional Ctr of Tech","2023","",17.299999237060547,-1
"230315000072","Biddeford High School","2023",712,53.700000762939453,13.26
"230315000076","John F Kennedy Memorial School","2023",263,18.600000381469727,14.140000000000001
"230315000622","Biddeford Intermediate School","2023",350,31.100000381469727,11.25
"230315001017","Biddeford Middle School","2023",631,61.799999237060547,10.210000000000001
"230315001042","Biddeford Primary School","2023",358,33.599998474121094,10.65
"230321000079","Blue Hill Consolidated School","2023",243,26.799999237060547,9.0700000000000003
"230329000080","Boothbay Region Elem School","2023",319,35.799999237060547,8.9100000000000001
"230329000081","Boothbay Region High School","2023",179,19.200000762939453,9.3200000000000003
"230351000084","Brewer High School","2023",720,47.700000762939453,15.09
"230351023130","Brewer Community School","2023",884,73,12.109999999999999
"230360000090","Bristol Consolidated School","2023",186,16,11.630000000000001
"230361000254","Brooklin School","2023",56,7.8000001907348633,7.1799999999999997
"230364000094","Brooksville Elementary School","2023",47,9.6999998092651367,4.8499999999999996
"230378000096","Brunswick Jr High School","2023",518,49.299999237060547,10.51
"230378000097","Kate Furbish Elementary School","2023",600,50.400001525878906,11.9
"230378000268","Brunswick High School","2023",723,68.800003051757813,10.51
"230378023129","Harriet Beecher Stowe Elementary","2023",522,45.099998474121094,11.57
"230387000074","St Croix Regional Technical Center","2023","",8.6000003814697266,-1
"230387000105","Calais Elementary School","2023",254,26,9.7699999999999996
"230387000106","Calais Middle/High School","2023",325,26,12.5
"230393000108","Cape Elizabeth High School","2023",518,42.599998474121094,12.16
"230393000109","Cape Elizabeth Middle School","2023",434,43,10.09
"230393000110","Pond Cove Elementary","2023",557,42.900001525878906,12.98
"230408000117","Adams School","2023",53,9.1999998092651367,5.7599999999999998
"230411000118","Dawn F Barnes Elementary Sch","2023",44,4.0999999046325684,10.73
"230416000119","Charlotte Elementary School","2023",23,4.3000001907348633,5.3499999999999996
"230462023153","Cranberry Isles School","2023",7,1.2000000476837158,5.8300000000000001
"230486000124","Dayton Consolidated School","2023",120,12.699999809265137,9.4499999999999993
"230489000125","Dedham School","2023",148,14.5,10.210000000000001
"230489500127","Deer Isle-Stonington High Sch","2023",115,16.100000381469727,7.1399999999999997
"230489500509","Deer Isle-Stonington Elementary Sch","2023",203,22.100000381469727,9.1899999999999995
"230528000133","Opal Myrick Elementary School","2023",142,15.300000190734863,9.2799999999999994
"230528000134","Schenck High School","2023",100,9.6999998092651367,10.31
"230530000249","Maine Region Ten Technical High Sch","2023","",14.5,-1
"230531000135","Easton Elementary School","2023",115,9.5,12.109999999999999
"230531000136","Easton Junior-Senior High Sch","2023",93,9.5,9.7899999999999991
"230536000138","Shead High School","2023",77,8.8999996185302734,8.6500000000000004
"230536000912","Eastport Elementary School","2023",86,10.300000190734863,8.3499999999999996
"230538000139","East Range II CSD School","2023",26,4,6.5
"230540000140","Edgecomb Eddy School","2023",107,10.5,10.19
"230550000078","Hancock County Technical Center","2023","",11,-1
"230550000270","Ellsworth High School","2023",553,42.900001525878906,12.890000000000001
"230550023117","Ellsworth Elementary-Middle School","2023",775,69.900001525878906,11.09
"230567000145","Falmouth High School","2023",706,65,10.859999999999999
"230567000914","Falmouth Middle School","2023",440,52.200000762939453,8.4299999999999997
"230567023132","Falmouth Elementary School","2023",843,73.300003051757813,11.5
"230597000154","Georgetown Central School","2023",51,7.9000000953674316,6.46
"230600000155","Glenburn Elementary School","2023",384,30.100000381469727,12.76
"230606000158","Gorham High School","2023",810,61.700000762939453,13.130000000000001
"230606000160","Village Elementary School-Gorham","2023",433,32.900001525878906,13.16
"230606000688","Gorham Middle School","2023",641,49.5,12.949999999999999
"230606000915","Narragansett Elementary School","2023",368,29.200000762939453,12.6
"230606023126","Great Falls Elementary School","2023",485,41.700000762939453,11.630000000000001
"230616000916","Great Salt Bay Community School","2023",407,37.599998474121094,10.82
