geoid,tract_name,year,pop_under_5,total_pop,pct_under_5
"23017965700","Census Tract 9657, Oxford County","2014",157,3296,"4.763349514563107"
"23017965800","Census Tract 9658, Oxford County","2014",166,3805,"4.362680683311432"
"23005011202","Census Tract 112.02, Cumberland County","2014",133,6446,"2.063295066708036"
"23005011300","Census Tract 113, Cumberland County","2014",131,2341,"5.595899188381034"
"23005002900","Census Tract 29, Cumberland County","2014",374,6421,"5.824637906868089"
"23005011201","Census Tract 112.01, Cumberland County","2014",285,7013,"4.063881363182661"
"23005000300","Census Tract 3, Cumberland County","2014",103,2587,"3.981445689988403"
"23005002101","Census Tract 21.01, Cumberland County","2014",305,5760,"5.295138888888888"
"23005002102","Census Tract 21.02, Cumberland County","2014",312,5493,"5.6799563080284"
"23005002300","Census Tract 23, Cumberland County","2014",291,3665,"7.939972714870396"
"23005003702","Census Tract 37.02, Cumberland County","2014",122,4831,"2.525357068929828"
"23005004402","Census Tract 44.02, Cumberland County","2014",240,3542,"6.775832862789384"
"23005004803","Census Tract 48.03, Cumberland County","2014",455,5818,"7.820556892402887"
"23005001100","Census Tract 11, Cumberland County","2014",56,2736,"2.046783625730994"
"23005001700","Census Tract 17, Cumberland County","2014",153,4508,"3.3939662821650396"
"23005001800","Census Tract 18, Cumberland County","2014",119,3437,"3.462321792260693"
"23005000500","Census Tract 5, Cumberland County","2014",260,2574,"10.1010101010101"
"23005002501","Census Tract 25.01, Cumberland County","2014",150,3772,"3.9766702014846236"
"23005002800","Census Tract 28, Cumberland County","2014",235,2739,"8.579773640014604"
"23005003000","Census Tract 30, Cumberland County","2014",364,6306,"5.7722803679035835"
"23005015000","Census Tract 150, Cumberland County","2014",107,2757,"3.8810301051867975"
"23005001200","Census Tract 12, Cumberland County","2014",46,1549,"2.9696578437701744"
"23005001500","Census Tract 15, Cumberland County","2014",324,3601,"8.997500694251597"
"23005002200","Census Tract 22, Cumberland County","2014",111,4804,"2.3105745212323066"
"23005002600","Census Tract 26, Cumberland County","2014",175,3940,"4.441624365482234"
"23005003100","Census Tract 31, Cumberland County","2014",334,3885,"8.597168597168597"
"23005004401","Census Tract 44.01, Cumberland County","2014",216,4891,"4.416274790431405"
"23005011100","Census Tract 111, Cumberland County","2014",265,4529,"5.851181276219916"
"23005011500","Census Tract 115, Cumberland County","2014",455,7103,"6.405744051809095"
"23005014000","Census Tract 140, Cumberland County","2014",148,3908,"3.7871033776867966"
"23005000600","Census Tract 6, Cumberland County","2014",125,2942,"4.2488103331067295"
"23005004801","Census Tract 48.01, Cumberland County","2014",564,6754,"8.350607047675451"
"23005003300","Census Tract 33, Cumberland County","2014",236,3171,"7.442447177546516"
"23005016500","Census Tract 165, Cumberland County","2014",139,3114,"4.463712267180475"
"23005000200","Census Tract 2, Cumberland County","2014",115,2478,"4.6408393866020985"
"23005004100","Census Tract 41, Cumberland County","2014",224,5741,"3.901759275387563"
"23011015000","Census Tract 150, Kennebec County","2014",86,2567,"3.3502142578885863"
"23017965900","Census Tract 9659, Oxford County","2014",188,2888,"6.509695290858726"
"23017966000","Census Tract 9660, Oxford County","2014",195,3343,"5.833084056236913"
"23011013000","Census Tract 130, Kennebec County","2014",229,4076,"5.618253189401374"
"23011016000","Census Tract 160, Kennebec County","2014",196,3171,"6.181015452538632"
"23011020500","Census Tract 205, Kennebec County","2014",134,1866,"7.181136120042872"
"23011024101","Census Tract 241.01, Kennebec County","2014",296,4167,"7.103431725461963"
"23011022000","Census Tract 220, Kennebec County","2014",43,2696,"1.5949554896142433"
"23011024200","Census Tract 242, Kennebec County","2014",270,6577,"4.10521514368253"
"23011010400","Census Tract 104, Kennebec County","2014",120,2306,"5.203816131830009"
"23011014500","Census Tract 145, Kennebec County","2014",84,2193,"3.830369357045144"
"23011021000","Census Tract 210, Kennebec County","2014",194,3426,"5.662580268534734"
"23011010500","Census Tract 105, Kennebec County","2014",191,4364,"4.376718606782768"
"23011010300","Census Tract 103, Kennebec County","2014",103,3298,"3.12310491206792"
"23011010600","Census Tract 106, Kennebec County","2014",306,7190,"4.255910987482615"
"23011012000","Census Tract 120, Kennebec County","2014",267,3613,"7.389980625518959"
"23011015500","Census Tract 155, Kennebec County","2014",139,3377,"4.116079360379034"
"23011019000","Census Tract 190, Kennebec County","2014",148,2576,"5.745341614906832"
"23011010700","Census Tract 107, Kennebec County","2014",140,2471,"5.6657223796034"
"23011010900","Census Tract 109, Kennebec County","2014",41,1398,"2.9327610872675254"
"23011010802","Census Tract 108.02, Kennebec County","2014",392,6374,"6.149984311264512"
"23011014000","Census Tract 140, Kennebec County","2014",200,6046,"3.3079722130334104"
"23001010300","Census Tract 103, Androscoggin County","2014",183,2254,"8.118899733806566"
"23001020600","Census Tract 206, Androscoggin County","2014",72,2466,"2.9197080291970803"
"23001020700","Census Tract 207, Androscoggin County","2014",321,5044,"6.363996827914353"
"23001042000","Census Tract 420, Androscoggin County","2014",230,5737,"4.009063970716403"
"23001045000","Census Tract 450, Androscoggin County","2014",118,2010,"5.870646766169154"
"23001046500","Census Tract 465, Androscoggin County","2014",496,6927,"7.160386891872383"
"23001020200","Census Tract 202, Androscoggin County","2014",99,1250,"7.920000000000001"
"23001020300","Census Tract 203, Androscoggin County","2014",526,7377,"7.130269757353938"
"23001010700","Census Tract 107, Androscoggin County","2014",175,3077,"5.687357816054599"
"23001030100","Census Tract 301, Androscoggin County","2014",175,4451,"3.931700741406426"
